name	realizable	ltl_model_build_time	model_build_time	composition_time	synthesis_time	diagnosis_time	alphabet_size	guarantees_count	assumptions_count	plant_states	plant_transitions	plant_controllable_transitions	minimiztion_states	minimization_transitions	minimization_controllable_transitions	search_method	diagnosis_steps
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_6_missing_assumption.fsp	false	0.000001	0.005392	0.000000	0.000000	0.033333	13	2	1	99	361	325	99	30	23	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_6_missing_assumption.fsp	false	0.000001	0.007334	0.000000	0.000000	0.038307	13	2	1	99	361	325	99	30	23	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_6_missing_assumption.fsp	false	0.000001	0.002889	0.000000	0.000000	0.016609	13	2	1	99	361	325	99	30	23	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_6_missing_assumption.fsp	false	0.000001	0.001497	0.000000	0.000000	0.008584	13	2	1	99	361	325	99	30	23	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_6_missing_assumption.fsp	false	0.000000	0.001361	0.000000	0.000000	0.010023	13	2	1	99	361	325	99	30	23	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_6_missing_assumption.fsp	false	0.000001	0.000876	0.000000	0.000000	0.006135	13	2	1	99	361	325	99	30	23	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_6_missing_assumption.fsp	false	0.000001	0.000928	0.000000	0.000000	0.006720	13	2	1	99	361	325	99	30	23	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_9_missing_assumption.fsp	false	0.000000	0.001941	0.000000	0.000000	0.069526	9	2	1	201	774	720	201	116	107	DD	6
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_9_missing_assumption.fsp	false	0.000001	0.004286	0.000000	0.000000	0.091047	9	2	1	201	774	720	201	116	107	DD	6
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_9_missing_assumption.fsp	false	0.000001	0.005398	0.000000	0.000000	0.104628	9	2	1	201	774	720	201	116	107	DD	6
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_12_missing_assumption.fsp	false	0.000001	0.006451	0.000000	0.000000	0.359493	9	2	1	339	1320	1248	339	202	190	DD	6
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_12_missing_assumption.fsp	false	0.000000	0.007128	0.000000	0.000000	0.347309	9	2	1	339	1320	1248	339	202	190	DD	6
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_12_missing_assumption.fsp	false	0.000000	0.006679	0.000000	0.000000	0.353466	9	2	1	339	1320	1248	339	202	190	DD	6
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_15_missing_assumption.fsp	false	0.000000	0.019647	0.000000	0.000000	0.211699	9	2	1	513	2010	1920	513	365	350	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_15_missing_assumption.fsp	false	0.000000	0.013734	0.000000	0.000000	0.204103	9	2	1	513	2010	1920	513	365	350	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_15_missing_assumption.fsp	false	0.000000	0.011466	0.000000	0.000000	0.203698	9	2	1	513	2010	1920	513	365	350	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_18_missing_assumption.fsp	false	0.000001	0.018717	0.000000	0.000000	0.382587	9	2	1	723	2844	2736	723	512	493	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_18_missing_assumption.fsp	false	0.000001	0.026328	0.000000	0.000000	0.415376	9	2	1	723	2844	2736	723	512	493	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_18_missing_assumption.fsp	false	0.000000	0.026012	0.000000	0.000000	0.384369	9	2	1	723	2844	2736	723	512	493	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_21_missing_assumption.fsp	false	0.000000	0.036008	0.000000	0.000000	3.175662	9	2	1	969	3822	3696	969	775	754	DD	7
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_21_missing_assumption.fsp	false	0.000000	0.037075	0.000000	0.000000	2.877972	9	2	1	969	3822	3696	969	775	754	DD	7
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_21_missing_assumption.fsp	false	0.000001	0.074924	0.000000	0.000000	3.056123	9	2	1	969	3822	3696	969	775	754	DD	7
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_24_missing_assumption.fsp	false	0.000000	0.058142	0.000000	0.000000	5.137521	9	2	1	1251	4944	4800	1251	970	946	DD	7
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_24_missing_assumption.fsp	false	0.000000	0.051044	0.000000	0.000000	5.294591	9	2	1	1251	4944	4800	1251	970	946	DD	7
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_24_missing_assumption.fsp	false	0.000001	0.049545	0.000000	0.000000	5.080358	9	2	1	1251	4944	4800	1251	970	946	DD	7
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_27_missing_assumption.fsp	false	0.000000	0.074112	0.000000	0.000000	2.180672	9	2	1	1569	6210	6048	1569	1301	1274	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_27_missing_assumption.fsp	false	0.000000	0.085090	0.000000	0.000000	1.753390	9	2	1	1569	6210	6048	1569	1301	1274	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_27_missing_assumption.fsp	false	0.000001	0.101628	0.000000	0.000000	2.150604	9	2	1	1569	6210	6048	1569	1301	1274	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_30_missing_assumption.fsp	false	0.000001	0.221465	0.000000	0.000000	2.644623	9	2	1	1923	7620	7440	1923	1568	1537	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_30_missing_assumption.fsp	false	0.000001	0.142088	0.000000	0.000000	3.286025	9	2	1	1923	7620	7440	1923	1568	1537	DD	2
Running:/home/mariano/code/henos-automata/src/tests/exploration-robot-v1_30_missing_assumption.fsp	false	0.000000	0.108309	0.000000	0.000000	2.387387	9	2	1	1923	7620	7440	1923	1568	1537	DD	2
